repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
zemse/create-solidity-project,8.00 ,9.00 ,15.00 ,19.00 ,3.00 ,JavaScript
WhiteHouse/fortyfour,339.00 ,58.00 ,15.00 ,6.00 ,5.00 ,CSS
EddieHubCommunity/EddieHubLive,15.00 ,12.00 ,15.00 ,0.00 ,7.00 ,JavaScript
stemount/cloutbot,5.00 ,2.00 ,14.00 ,2.00 ,0.00 ,NULL
curiousily/Getting-Things-Done-with-Pytorch,0.00 ,513.00 ,14.00 ,3.00 ,0.00 ,Jupyter Notebook
jgthms/bulma-website,40.00 ,35.00 ,14.00 ,6.00 ,12.00 ,CSS
jgthms/bulma-website,40.00 ,35.00 ,14.00 ,6.00 ,12.00 ,CSS
benawad/codeponder,260.00 ,47.00 ,14.00 ,1.00 ,9.00 ,TypeScript
prtamil/c-libutl,0.00 ,0.00 ,14.00 ,0.00 ,0.00 ,C
taniarascia/new-moon,0.00 ,87.00 ,14.00 ,2.00 ,9.00 ,Less
adrianhajdin/project_medical_pager_chat,968.00 ,336.00 ,14.00 ,5.00 ,0.00 ,JavaScript
trailofbits/blight,63.00 ,5.00 ,14.00 ,0.00 ,7.00 ,Python
antonmedv/codejar,0.00 ,87.00 ,14.00 ,1.00 ,20.00 ,TypeScript
education/GitHubGraduation-2021,0.00 ,0.00 ,14.00 ,0.00 ,0.00 ,JavaScript
defuse/defuse.ca,53.00 ,17.00 ,14.00 ,0.00 ,3.00 ,HTML
offensive-security/nethunter-devices,217.00 ,207.00 ,13.00 ,3.00 ,30.00 ,NULL
anshrathod/Basic-Python-Scripts,18.00 ,93.00 ,13.00 ,1.00 ,112.00 ,Python
offensive-security/kali-arm-build-scripts,805.00 ,397.00 ,13.00 ,1.00 ,13.00 ,NULL
google/active-qa,339.00 ,69.00 ,13.00 ,0.00 ,0.00 ,Python
benfoxall/benfoxall.github.com,5.00 ,6.00 ,13.00 ,1.00 ,2.00 ,JavaScript
yourcelf/btb,13.00 ,8.00 ,13.00 ,4.00 ,3.00 ,Python
antonmedv/fx,0.00 ,428.00 ,13.00 ,2.00 ,23.00 ,Go
ethereum/async-service,6.00 ,9.00 ,13.00 ,1.00 ,6.00 ,Python
openfoodfacts/fastlane-descriptions-smoothie,0.00 ,0.00 ,13.00 ,12.00 ,4.00 ,Ruby
ethereum/clef-ui,24.00 ,15.00 ,13.00 ,0.00 ,4.00 ,QML
Tyriar/atom-navigation-history,2.00 ,3.00 ,13.00 ,1.00 ,0.00 ,CoffeeScript
davglass/cpr,76.00 ,29.00 ,13.00 ,5.00 ,15.00 ,JavaScript
ethereum/builder-specs,67.00 ,13.00 ,13.00 ,3.00 ,9.00 ,HTML
